#	Timing	Category	Format	Post text	Visual direction	Objective	CTA	Evidence / link requirement
1	T+00:00	CA / launch	launch announcement	THE ADDRESS HAS BEEN ACCEPTED. \n \nEight arms listened. One memory waited. \n \nThat dormancy ends now. \n \nCA: [OFFICIAL_CA] \n \nVerify the address. Attach through one contract only. \n \n> PHASE 01 // AWAKENED \n> VERIFY. ATTACH. DESCEND. \n \n$O8	Black terminal card with CA in monospace	Make the contract reveal the beginning of the story	Verify the CA and enter the monitor	ca + chain explorer
2	T+00:20	CA / launch	reply / pin	the contract is public. \nthe memory is public. \nthe consequences are public. \n \nif a screenshot says otherwise, trust the chain.	Pinned reply with explorer link	Set verification culture	Bookmark the official link	ca + explorer
3	T+01:00	CA / launch	status pulse	> ATTACHMENT WINDOW: OPEN \n> SPECIES: O8 \n> ARMS: 08 \n> MEMORY: EMPTY \n> OBSERVATION: LIVE	Animated terminal status	Turn launch into a live event	Watch the first state change	site telemetry
4	T+02:00	CA / launch	short transmission	eight arms. one address. \nno second mouth.	Minimal black text card	Create a quotable identity line	Reply with the arm you found first	none
5	T+3:00	Awakening / attachment	manifesto	the first signal is never loud. \nit is a small change in pressure \nthat only the patient notice.	CRT scanline quote card	Introduce observation motif	Open the live monitor	none
6	T+5:00	Awakening / attachment	short transmission	O8 does not promise a miracle. \nit records a process. \nthat is rarer than a promise.	No image / terminal text	Frame evidence over hype	Reply with your timestamp	none
7	T+7:00	Awakening / attachment	short transmission	attach once. \nwatch closely. \nlet the address speak for itself.	No image / terminal text	Explain simple user action	Open the live monitor	none
8	T+9:00	Awakening / attachment	manifesto	the terminal is quiet \nbecause the chain is still deciding \nwhat kind of story this becomes.	CRT scanline quote card	Build anticipation	Reply with your timestamp	none
9	T+11:00	Awakening / attachment	short transmission	a market has candles. \nO8 has memory. \nwe are here for the second thing.	No image / terminal text	Differentiate product	Open the live monitor	none
10	T+13:00	Awakening / attachment	short transmission	some launches ask you to believe. \nthis one asks you to verify.	No image / terminal text	Reinforce trust	Reply with your timestamp	none
11	T+15:00	Awakening / attachment	manifesto	the arms are not decoration. \nthey are eight ways to notice \nwhat one headline misses.	CRT scanline quote card	Seed eight-arm utility	Open the live monitor	none
12	T+17:00	Awakening / attachment	short transmission	> SIGNAL RECEIVED \n> SOURCE: ROBINHOOD CHAIN \n> ACTION: LOGGED	No image / terminal text	Make chain monitoring legible	Reply with your timestamp	live chain signal
13	T+19:00	Awakening / attachment	short transmission	the address is the door. \nthe lifecycle is the room. \nstay long enough to see it change.	No image / terminal text	Move attention to site	Open the live monitor	none
14	T+21:00	Awakening / attachment	manifesto	if you arrived before the first event, \nyou are not early because we said so. \nyou are early because the block says so.	CRT scanline quote card	Early-believer framing	Reply with your timestamp	none
15	Day 1 · AM	Eight-arm identity	arm profile	ARM 01 // CURRENT \n \nreads the block before the timeline does. \n \nnot a promise. \na function. \na way of looking.	Monochrome card labelled ARM 01	Give one arm a memorable job	spot the newest verified event	site telemetry
16	Day 1 · PM	Eight-arm identity	arm profile	ARM 02 // AUDITOR \n \nseparates signal from decoration. \n \nnot a promise. \na function. \na way of looking.	Monochrome card labelled ARM 02	Give one arm a memorable job	check the evidence panel	site telemetry
17	Day 2 · AM	Eight-arm identity	arm profile	ARM 03 // HUNTER \n \nlooks for the next meaningful transition. \n \nnot a promise. \na function. \na way of looking.	Monochrome card labelled ARM 03	Give one arm a memorable job	watch for the next lifecycle mark	site telemetry
18	Day 2 · PM	Eight-arm identity	arm profile	ARM 04 // MEMORY \n \nkeeps the old state visible. \n \nnot a promise. \na function. \na way of looking.	Monochrome card labelled ARM 04	Give one arm a memorable job	compare now with then	none
19	Day 3 · AM	Eight-arm identity	arm profile	ARM 05 // TIDE \n \nmeasures participation without pretending it is destiny. \n \nnot a promise. \na function. \na way of looking.	Monochrome card labelled ARM 05	Give one arm a memorable job	observe the curve	none
20	Day 3 · PM	Eight-arm identity	arm profile	ARM 06 // ECHO \n \nturns a chain event into a readable sentence. \n \nnot a promise. \na function. \na way of looking.	Monochrome card labelled ARM 06	Give one arm a memorable job	read the feed	none
21	Day 4 · AM	Eight-arm identity	arm profile	ARM 07 // ANCHOR \n \nkeeps the address and source in one place. \n \nnot a promise. \na function. \na way of looking.	Monochrome card labelled ARM 07	Give one arm a memorable job	verify before sharing	none
22	Day 4 · PM	Eight-arm identity	arm profile	ARM 08 // MANTLE \n \nshows the living surface of the system. \n \nnot a promise. \na function. \na way of looking.	Monochrome card labelled ARM 08	Give one arm a memorable job	stay with the motion	none
23	Day 5 · 12:00	Eight-arm identity	community prompt	which arm did you meet first? \n \nCURRENT is watching the address.	Reply prompt with eight-dot glyph	Create participatory language around the arms	Reply with a number 1–8	none
24	Day 6 · 12:00	Eight-arm identity	community prompt	which arm did you meet first? \n \nAUDITOR is watching the curve.	Reply prompt with eight-dot glyph	Create participatory language around the arms	Reply with a number 1–8	none
25	Day 7 · 12:00	Eight-arm identity	community prompt	which arm did you meet first? \n \nHUNTER is watching the feed.	Reply prompt with eight-dot glyph	Create participatory language around the arms	Reply with a number 1–8	none
26	Day 8 · 12:00	Eight-arm identity	community prompt	which arm did you meet first? \n \nMEMORY is watching the history.	Reply prompt with eight-dot glyph	Create participatory language around the arms	Reply with a number 1–8	none
27	Day 9 · 12:00	Eight-arm identity	community prompt	which arm did you meet first? \n \nTIDE is watching the pool.	Reply prompt with eight-dot glyph	Create participatory language around the arms	Reply with a number 1–8	none
28	Day 10 · 12:00	Eight-arm identity	community prompt	which arm did you meet first? \n \nECHO is watching the silence.	Reply prompt with eight-dot glyph	Create participatory language around the arms	Reply with a number 1–8	none
29	Day 11 · 12:00	Eight-arm identity	community prompt	which arm did you meet first? \n \nANCHOR is watching the next block.	Reply prompt with eight-dot glyph	Create participatory language around the arms	Reply with a number 1–8	none
30	When verified · event 1	Live lifecycle / evidence	event card	> FIRST BLOCK \n \nthe first block after attachment is not lore. \nit is the first line in the record.	Screenshot of the matching live panel	Turn real chain events into serial narrative	first block after CA	live chain + explorer
31	When verified · event 2	Live lifecycle / evidence	event card	> FIRST TX \n \nfirst transaction detected. \nO8 has something real to remember.	Screenshot of the matching live panel	Turn real chain events into serial narrative	open the transaction	live chain + explorer
